domain	name	region	tranco
abc3340.com	ABC 33/40 News	US	40415
zenit.org	Zenit News Agency	US	40424
cjonline.com	The Topeka Capital-Journal	US	40579
archpaper.com	The Architect's Newspaper	US	40654
ketv.com	KETV NewsWatch 7	US	40691
fatherly.com	Fatherly	US	40853
dailybreeze.com	Daily Breeze	US	40921
theledger.com	The Ledger	US	40970
roanoke.com	The Roanoke Times	US	41172
citizen-times.com	Asheville Citizen-Times	US	41339
news3lv.com	KSNV News 3	US	41532
wgrz.com	WGRZ	US	41843
techmeme.com	TechMeme	US	42005
stateline.org	Stateline	US	42077
kcur.org	KCUR	US	42146
tcpalm.com	Treasure Coast	US	42449
nhregister.com	New Haven Register	US	42563
statesmanjournal.com	Stayton Mail	US	42683
19thnews.org	19th	US	43041
navytimes.com	Navy Times	US	43055
pjstar.com	Journal Star	US	43159
floridapolitics.com	Florida Politics	US	43238
notthebee.com	Not the Bee	US	43420
seacoastonline.com	Seacoastonline.com	US	43471
dnainfo.com	DNAinfo	US	43770
news-leader.com	Springfield News-Leader	US	43824
savannahnow.com	Savannah Morning News	US	43839
torquenews.com	Torque News	US	43976
gainesville.com	Gainesville Sun	US	44057
primerahora.com	Primera Hora	US	44058
lansingstatejournal.com	Lansing State Journal	US	44199
marinij.com	Marin Independent Journal	US	44231
uplift.com	The Uplift	US	44259
journalnow.com	Winston-Salem Journal	US	44332
santacruzsentinel.com	Santa Cruz Sentinel	US	44428
access.newspaperarchive.com	Tribune-Star	US	44441
wkyt.com	WKYT	US	44443
khon2.com	KHON2 News	US	44516
drf.com	Daily Racing Form	US	44751
blockclubchicago.org	Block Club Chicago	US	44765
yaledailynews.com	Yale Daily News	US	44845
greenvilleonline.com	Greenville News	US	45319
katv.com	KATV News	US	45576
pressofatlanticcity.com	The Press of Atlantic City	US	45594
defector.com	Defector	US	45660
trib.com	Casper Star-Tribune	US	45696
pnj.com	News Journal	US	45707
texasobserver.org	Texas Observer	US	45802
registerguard.com	The Register-Guard	US	45897
gpb.org	Georgia Public Broadcasting	US	46369
vcstar.com	Ventura County Star	US	46556
wave3.com	WAVE	US	46599
eu.beaconjournal.com	Akron Beacon Journal	US	46894
beaconjournal.com	Akron Beacon Journal	US	46894
cowboystatedaily.com	Cowboy State Daily	US	47029
sunjournal.com	Sun Journal	US	47037
themarkup.org	The Markup	US	47041
alaskasnewssource.com	Alaska’s News Source	US	47064
montgomeryadvertiser.com	Montgomery Advertiser	US	47569
metro.newschannelnebraska.com	News Channel Nebraska	US	47682
presstelegram.com	Press-Telegram	US	48116
